Designator,Mid X,Mid Y,Rotation,Layer
C1,38.5,12.5,270.0,top
C10,39.75,22.5,0.0,top
C11,39.75,16.0,180.0,top
C12,39.75,20.5,0.0,top
C13,39.75,21.5,0.0,top
C14,8.0,28.25,0.0,top
C15,36.2,29.75,180.0,top
C16,6.25,16.5,180.0,top
C17,6.25,18.5,180.0,top
C18,6.25,15.0,180.0,top
C19,6.75,10.5,90.0,top
C2,27.25,12.25,270.0,top
C20,5.75,10.5,90.0,top
C21,2.75,16.5,0.0,top
C22,2.75,14.5,0.0,top
C23,2.75,18.5,0.0,top
C24,15.75,9.25,180.0,top
C25,19.75,12.5,90.0,top
C26,16.5,20.75,90.0,top
C27,22.5,32.75,0.0,top
C28,23.0,31.25,270.0,top
C29,22.0,34.25,90.0,top
C3,28.0,8.75,90.0,top
C30,15.5,15.0,90.0,top
C31,30.5,40.75,180.0,top
C32,11.5,39.75,180.0,top
C33,9.658956,39.753574,180.0,top
C34,11.48,40.75,180.0,top
C36,17.0,35.0,270.0,top
C4,32.5,8.75,270.0,top
C5,32.5,11.25,180.0,top
C6,29.0,25.75,0.0,top
C7,25.75,13.75,180.0,top
C8,8.0,21.25,0.0,top
C9,35.52,11.25,180.0,top
D1,22.0,25.0,180.0,top
D2,26.5,25.0,0.0,top
D3,24.0,25.0,180.0,top
D4,29.0,27.75,0.0,top
D5,29.0,26.75,0.0,top
D6,23.5,13.5,90.0,top
D7,3.0,32.0,0.0,top
FB1,39.75,18.25,270.0,top
H1,5.5,36.5,0.0,top
H2,36.5,36.5,0.0,top
H3,36.5,5.5,0.0,top
H4,5.5,5.5,0.0,top
H5,39.0,33.0,0.0,top
H6,8.0,2.0,0.0,top
H7,25.0,45.0,0.0,top
J1,24.5,27.5,180.0,top
J2,3.95,24.635,270.0,top
J3,10.5,14.44,0.0,bottom
J4,13.0,4.5,90.0,top
J5,23.0,4.5,90.0,top
JP1,30.23,2.0,90.0,bottom
JP2,36.25,16.0,0.0,bottom
JP3,36.25,18.5,0.0,bottom
JP4,36.25,21.0,0.0,bottom
L1,3.0,11.25,180.0,top
M1,21.0,38.75,180.0,top
R1,6.0,29.75,180.0,top
R10,32.0,32.51,90.0,top
R11,28.75,38.0,90.0,top
R12,12.0,30.75,0.0,top
R13,15.5,33.25,90.0,top
R14,5.75,32.0,180.0,top
R2,8.0,29.75,180.0,top
R3,14.25,28.25,270.0,top
R4,24.0,15.75,180.0,top
R5,33.5,2.0,180.0,top
R6,34.0,10.75,90.0,top
R7,8.2,10.5,270.0,top
R8,8.25,12.75,270.0,top
R9,23.5,10.0,0.0,top
SW1,30.25,4.75,0.0,top
SW2,17.75,29.5,0.0,top
SW3,18.5,3.25,90.0,top
SW4,17.75,25.5,0.0,top
TP1,13.0,20.25,90.0,top
TP2,38.25,24.5,0.0,top
TP3,21.25,36.5,0.0,bottom
U1,32.0,18.5,0.0,top
U2,10.9,24.5,180.0,top
U3,6.25,13.0,270.0,top
U4,18.5,9.25,90.0,top
U5,21.0,21.0,90.0,top
U6,27.5,32.5,90.0,top
U7,31.5,38.0,270.0,top
U8,11.5,35.25,0.0,top
U9,19.25,33.5,270.0,top
Y1,30.25,8.75,180.0,top
